"Reference" "Updated" "TotalStatesRef" "TotalStatesUpdt" "TotalTransitionsRef" "TotalTransitionsUpdt" "TotalFeaturesRef" "TotalFeaturesUpdt" "CommonFeatures" "RatioFeatures" "RatioStates" "RatioTransitions" "StatesFFSM" "TransitionsFFSM" "Precision" "Recall" "F.measure" "SPL" "Twise" "Index"
"33" "ffsm_4_kiss.txt" "fsm_vm_1.txt" 14 8 181 64 -1 -1 -1 -1 0.636363636363636 0.751020408163265 14 184 0.953125 0.337017 0.497959 "vm" "3wise" 5
"34" "ffsm_5_kiss.txt" "fsm_vm_20.txt" 14 14 184 182 -1 -1 -1 -1 0.5 0.540983606557377 14 198 0.976744 0.913043 0.94382 "vm" "3wise" 6
"35" "ffsm_6_kiss.txt" "fsm_vm_4.txt" 14 8 198 64 -1 -1 -1 -1 0.636363636363636 0.755725190839695 14 198 1 0.323232 0.48855 "vm" "3wise" 7
"36" "ffsm_7_kiss.txt" "fsm_vm_9.txt" 14 9 198 81 -1 -1 -1 -1 0.608695652173913 0.716845878136201 14 200 0.975309 0.39899 0.566308 "vm" "3wise" 8
"37" "ffsm_8_kiss.txt" "fsm_vm_12.txt" 14 10 200 110 -1 -1 -1 -1 0.583333333333333 0.645161290322581 14 200 1 0.55 0.709677 "vm" "3wise" 9
"38" "ffsm_9_kiss.txt" "fsm_vm_17.txt" 14 12 200 156 -1 -1 -1 -1 0.538461538461538 0.561797752808989 14 200 1 0.78 0.876404 "vm" "3wise" 10
"39" "ffsm_10_kiss.txt" "fsm_vm_19.txt" 14 14 200 182 -1 -1 -1 -1 0.5 0.526178010471204 14 201 1 0.905 0.950131 "vm" "3wise" 11
"40" "ffsm_11_kiss.txt" "fsm_vm_3.txt" 14 8 201 64 -1 -1 -1 -1 0.636363636363636 0.758490566037736 14 201 1 0.318408 0.483019 "vm" "3wise" 12
"41" "fsm_vm_5.txt" "fsm_vm_1.txt" 10 8 100 64 9 9 6 0.5 0.555555555555556 0.658536585365854 10 108 0.875 0.56 0.682927 "vm" "4wise" 1
"42" "ffsm_1_kiss.txt" "fsm_vm_14.txt" 10 11 108 121 -1 -1 -1 -1 0.523809523809524 0.567685589519651 11 130 0.883929 0.916667 0.9 "vm" "4wise" 2
"43" "ffsm_2_kiss.txt" "fsm_vm_17.txt" 11 12 130 156 -1 -1 -1 -1 0.565217391304348 0.636363636363636 13 182 0.748201 0.8 0.773234 "vm" "4wise" 3
"44" "ffsm_3_kiss.txt" "fsm_vm_11.txt" 13 10 182 110 -1 -1 -1 -1 0.565217391304348 0.623287671232877 13 182 1 0.604396 0.753425 "vm" "4wise" 4
"45" "ffsm_4_kiss.txt" "fsm_vm_15.txt" 13 12 182 132 -1 -1 -1 -1 0.56 0.633757961783439 14 199 0.927419 0.631868 0.751634 "vm" "4wise" 5
"46" "ffsm_5_kiss.txt" "fsm_vm_8.txt" 14 9 199 81 -1 -1 -1 -1 0.608695652173913 0.710714285714286 14 199 1 0.407035 0.578571 "vm" "4wise" 6
"47" "ffsm_6_kiss.txt" "fsm_vm_16.txt" 14 12 199 132 -1 -1 -1 -1 0.538461538461538 0.604229607250755 14 200 1 0.658291 0.793939 "vm" "4wise" 7
"48" "ffsm_7_kiss.txt" "fsm_vm_4.txt" 14 8 200 64 -1 -1 -1 -1 0.636363636363636 0.757575757575758 14 200 1 0.32 0.484848 "vm" "4wise" 8
"49" "ffsm_8_kiss.txt" "fsm_vm_12.txt" 14 10 200 110 -1 -1 -1 -1 0.583333333333333 0.645161290322581 14 200 1 0.55 0.709677 "vm" "4wise" 9
"50" "ffsm_9_kiss.txt" "fsm_vm_6.txt" 14 10 200 100 -1 -1 -1 -1 0.583333333333333 0.666666666666667 14 200 1 0.5 0.666667 "vm" "4wise" 10
"51" "ffsm_10_kiss.txt" "fsm_vm_2.txt" 14 8 200 64 -1 -1 -1 -1 0.636363636363636 0.765151515151515 14 202 0.96875 0.31 0.469697 "vm" "4wise" 11
"52" "ffsm_11_kiss.txt" "fsm_vm_19.txt" 14 14 202 182 -1 -1 -1 -1 0.5 0.53125 14 204 1 0.891089 0.942408 "vm" "4wise" 12
"53" "ffsm_12_kiss.txt" "fsm_vm_18.txt" 14 12 204 156 -1 -1 -1 -1 0.538461538461538 0.566666666666667 14 204 1 0.764706 0.866667 "vm" "4wise" 13
"54" "ffsm_13_kiss.txt" "fsm_vm_7.txt" 14 9 204 81 -1 -1 -1 -1 0.608695652173913 0.715789473684211 14 204 1 0.397059 0.568421 "vm" "4wise" 14
"55" "ffsm_14_kiss.txt" "fsm_vm_10.txt" 14 9 204 81 -1 -1 -1 -1 0.608695652173913 0.715789473684211 14 204 1 0.397059 0.568421 "vm" "4wise" 15
"56" "ffsm_15_kiss.txt" "fsm_vm_9.txt" 14 9 204 81 -1 -1 -1 -1 0.608695652173913 0.715789473684211 14 204 1 0.397059 0.568421 "vm" "4wise" 16
"57" "ffsm_16_kiss.txt" "fsm_vm_3.txt" 14 8 204 64 -1 -1 -1 -1 0.636363636363636 0.761194029850746 14 204 1 0.313726 0.477612 "vm" "4wise" 17
"58" "ffsm_17_kiss.txt" "fsm_vm_20.txt" 14 14 204 182 -1 -1 -1 -1 0.5 0.528497409326425 14 204 1 0.892157 0.943005 "vm" "4wise" 18
"59" "fsm_vm_3.txt" "fsm_vm_17.txt" 8 12 64 156 9 9 7 0.636363636363636 0.6 0.713636363636364 12 157 0.434483 0.984375 0.602871 "vm" "all" 1
"60" "ffsm_1_kiss.txt" "fsm_vm_11.txt" 12 10 157 110 -1 -1 -1 -1 0.545454545454545 0.588014981273408 12 157 1 0.700637 0.82397 "vm" "all" 2
"61" "ffsm_2_kiss.txt" "fsm_vm_18.txt" 12 12 157 156 -1 -1 -1 -1 0.5 0.539936102236422 12 169 0.923077 0.917197 0.920128 "vm" "all" 3
"62" "ffsm_3_kiss.txt" "fsm_vm_5.txt" 12 10 169 100 -1 -1 -1 -1 0.590909090909091 0.676579925650558 13 182 0.87 0.514793 0.64684 "vm" "all" 4
"63" "ffsm_4_kiss.txt" "fsm_vm_8.txt" 13 9 182 81 -1 -1 -1 -1 0.590909090909091 0.695817490494297 13 183 0.987654 0.43956 0.608365 "vm" "all" 5
"64" "ffsm_5_kiss.txt" "fsm_vm_9.txt" 13 9 183 81 -1 -1 -1 -1 0.590909090909091 0.693181818181818 13 183 1 0.442623 0.613636 "vm" "all" 6
"65" "ffsm_6_kiss.txt" "fsm_vm_19.txt" 13 14 183 182 -1 -1 -1 -1 0.518518518518518 0.550684931506849 14 201 0.953488 0.896175 0.923944 "vm" "all" 7
"66" "ffsm_7_kiss.txt" "fsm_vm_12.txt" 14 10 201 110 -1 -1 -1 -1 0.583333333333333 0.646302250803859 14 201 1 0.547264 0.707396 "vm" "all" 8
"67" "ffsm_8_kiss.txt" "fsm_vm_10.txt" 14 9 201 81 -1 -1 -1 -1 0.608695652173913 0.712765957446808 14 201 1 0.402985 0.574468 "vm" "all" 9
